Date,Open,High,Low,Close,Adj Close,Volume
2023-09-07,33.299999,33.299999,31.700001,32.090000,32.090000,1187100
2023-09-08,32.110001,32.500000,31.930000,32.119999,32.119999,834200
2023-09-11,31.969999,33.125000,31.660000,32.869999,32.869999,609500
2023-09-12,32.849998,33.450001,32.715000,32.889999,32.889999,671400
2023-09-13,32.900002,33.320000,32.435001,32.849998,32.849998,893600
2023-09-14,33.009998,33.169998,32.000000,32.549999,32.549999,677500
2023-09-15,32.590000,32.647999,31.490000,31.760000,31.760000,3172000
2023-09-18,31.750000,32.014999,30.709999,30.930000,30.930000,2242900
2023-09-19,30.620001,31.370001,30.620001,31.000000,31.000000,1343400
2023-09-20,30.860001,31.049999,29.650000,29.730000,29.730000,1260900
2023-09-21,29.950001,30.754999,29.450001,30.480000,30.480000,1153400
2023-09-22,30.469999,30.480000,29.600000,30.000000,30.000000,1858400
2023-09-25,29.750000,29.879999,29.170000,29.500000,29.500000,1217500
2023-09-26,29.500000,29.950001,28.775999,28.940001,28.940001,1832400
2023-09-27,29.100000,29.396000,28.520000,28.900000,28.900000,640400
2023-09-28,28.889999,29.090000,27.760000,28.240000,28.240000,1910200
2023-09-29,28.420000,28.570000,27.600000,27.680000,27.680000,1451800
2023-10-02,27.370001,27.570000,26.040001,26.170000,26.170000,2639300
2023-10-03,26.100000,26.290001,24.139999,24.530001,24.530001,4136800
2023-10-04,24.580000,25.650000,22.750000,24.340000,24.340000,4293800
2023-10-05,24.200001,25.370001,23.379999,25.260000,25.260000,2281300
2023-10-06,25.000000,25.344999,24.690001,25.040001,25.040001,959000
2023-10-09,24.830000,25.559999,24.410000,25.469999,25.469999,1116700
2023-10-10,25.450001,26.275000,25.340000,25.559999,25.559999,2318700
2023-10-11,25.680000,29.500000,24.150000,25.510000,25.510000,3960900
2023-10-12,25.190001,25.930000,23.990000,24.200001,24.200001,2291900
2023-10-13,24.370001,31.240000,23.639999,29.910000,29.910000,10651500
2023-10-16,29.920000,35.320000,29.879999,34.119999,34.119999,8414000
